"County","Pop_Estimate","Pct_Latino","Estimated_Latino_Pop"
Okanogan,42634,0.2130,9081
Chelan,79646,0.2870,22858
Kittitas,45499,0.0960,4368
Yakima,256035,0.5180,132626
Klickitat,23118,0.1200,2774
Benton,210025,0.2400,50406
Grant,100297,0.4310,43228
Douglas,43696,0.3340,14594
Ferry,7273,0.0530,385
Lincoln,11232,0.0390,438
Adams,20621,0.6550,13507
Franklin,98268,0.5410,53163
Walla Walla,62682,0.2260,14166
Columbia,4042,0.0850,344
Garfield,2346,0.0570,134
Asotin,22397,0.0470,1053
Whitman,47873,0.0680,3255
Spokane,546040,0.0660,36039
Stevens,47426,0.0420,1992
Pend Oreille ,13886,0.0470,653
