"County","Total","Less_10000","BTWN_10000_14999","BTWN_15000_19999","BTWN_20000_24999","BTWN_25000_29999","BTWN_30000_34999","BTWN_35000_39999","BTWN_40000_44999","BTWN_45000_49999","BTWN_50000_59999","BTWN_60000_74999","BTWN_75000_99999","BTWN_100000_124999","BTWN_125000_149999","BTWN_150000_199999","More_200000"
Washington,"234,406","12,858","8,949","9,718","12,688","12,998","14,483","13,418","13,881","11,320","22,666","27,740","30,344","16,505","9,733","9,044","8,061"
Washington Margin of Error,"±1,894",±873,±762,±760,±883,±930,±908,±971,"±1,069",±776,"±1,198","±1,132","±1,127",±859,±687,±644,±661
Adams,"2,958","166","256","228","247","137","70","171","277","68","206","401","455","108","83","42","43"
Adams Margin of Error,±152,±85,±110,±116,±119,±100,±49,±73,±141,±66,±104,±150,±176,±69,±54,±45,±44
Asotin,"196","63","0","5","8","70","0","6","0","0","19","7","18","0","0","0","0"
Asotin Margin of Error,±61,±45,±22,±9,±12,±58,±22,±10,±22,±22,±25,±11,±24,±22,±22,±22,±22
Benton,"10,614","552","649","556","978","710","659","517","657","501","1,171","1,066","1,356","383","318","150","391"
Benton Margin of Error,±445,±194,±251,±197,±330,±188,±226,±179,±184,±194,±310,±255,±291,±117,±147,±71,±171
Chelan,"5,105","224","101","217","374","357","425","276","575","245","570","778","448","203","134","90","88"
Chelan Margin of Error,±402,±134,±105,±121,±168,±180,±191,±223,±231,±143,±187,±244,±200,±99,±74,±61,±76
Columbia,"87","0","31","13","0","0","0","0","0","0","0","6","32","0","0","5","0"
Columbia Margin of Error,±57,±12,±48,±24,±12,±12,±12,±12,±12,±12,±12,±12,±41,±12,±12,±10,±12
Douglas,"3,205","72","67","192","149","358","202","220","167","141","455","434","496","151","25","49","27"
Douglas Margin of Error,±224,±63,±52,±118,±73,±119,±87,±105,±71,±65,±106,±110,±126,±92,±26,±34,±30
Ferry,"89","36","18","0","3","0","0","3","0","0","6","0","3","0","0","0","20"
Ferry Margin of Error,±49,±38,±29,±17,±5,±17,±17,±5,±17,±17,±12,±17,±9,±17,±17,±17,±14
Franklin,"11,311","607","429","725","538","568","683","646","711","648","1,245","1,443","1,597","812","219","194","246"
Franklin Margin of Error,±411,±216,±189,±241,±161,±191,±199,±211,±206,±222,±311,±310,±355,±251,±106,±117,±140
Garfield,"10","0","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
Garfield Margin of Error,±14,±12,±9,±12,±11,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12,±12
Grant,"8,837","351","336","244","545","698","586","648","492","556","1,033","897","1,439","498","220","198","96"
Grant Margin of Error,±408,±163,±165,±112,±187,±233,±181,±198,±160,±151,±267,±232,±293,±193,±113,±87,±80
Kittitas,"840","66","36","21","25","15","38","63","137","0","194","49","102","50","0","32","12"
Kittitas Margin of Error,±122,±50,±42,±33,±32,±26,±40,±51,±81,±25,±107,±50,±65,±38,±25,±30,±21
Klickitat,"716","16","8","0","43","3","53","190","13","42","87","83","54","47","77","0","0"
Klickitat Margin of Error,±94,±24,±16,±22,±55,±7,±63,±121,±19,±55,±84,±54,±50,±35,±68,±22,±22
Lincoln,"125","14","9","0","25","5","12","9","0","0","0","14","7","7","0","23","0"
Lincoln Margin of Error,±28,±15,±14,±19,±33,±7,±13,±14,±19,±19,±19,±17,±10,±9,±19,±23,±19
Okanogan,"2,221","158","215","122","265","56","126","163","80","219","217","261","133","141","56","9","0"
Okanogan Margin of Error,±213,±88,±137,±63,±116,±40,±64,±93,±61,±103,±87,±118,±54,±99,±52,±15,±25
Pend Oreille,"172","15","10","8","11","17","0","12","0","3","14","17","65","0","0","0","0"
Pend Oreille Margin of Error,±41,±24,±15,±12,±15,±31,±19,±17,±19,±9,±23,±21,±34,±19,±19,±19,±19
Spokane,"7,816","986","359","464","402","321","389","224","459","287","576","899","978","614","169","448","241"
Spokane Margin of Error,±385,±267,±136,±183,±133,±124,±118,±116,±172,±115,±176,±261,±229,±148,±120,±211,±110
Stevens,"360","65","29","27","77","4","42","8","6","10","12","22","41","4","0","0","13"
Stevens Margin of Error,±69,±48,±30,±37,±84,±8,±36,±12,±7,±17,±20,±18,±54,±6,±25,±25,±20
Walla Walla,"3,063","110","105","181","115","135","311","272","120","192","293","460","329","207","120","105","8"
Walla Walla Margin of Error,±227,±56,±58,±85,±83,±70,±127,±135,±72,±83,±104,±141,±111,±108,±72,±89,±15
Whitman,"509","145","24","95","47","14","2","21","14","9","25","47","7","16","12","0","31"
Whitman Margin of Error,±115,±73,±28,±57,±38,±15,±4,±27,±22,±13,±25,±34,±12,±17,±15,±25,±33
Yakima,"30,542","1,754","1,452","1,643","2,220","1,864","2,743","2,256","2,154","1,610","2,868","3,759","3,371","1,498","635","433","282"
Yakima Margin of Error,±534,±304,±340,±298,±337,±352,±455,±405,±406,±281,±392,±417,±450,±265,±181,±143,±130
