"GovTrustID","YR","Lib_Dem_Lean_Dem","Cons_Mod_Dem_Lean_Dem","Mod_Lib_Rep_Lean_Rep","Cons_Rep_Lean_Rep","Dem_Lean_Dem","Rep_Lean_Rep","Hispanic","Black","White","Asian"
1,2022,26,32,13,7,29,9,29,24,16,37
2,2021,31,40,16,5,36,9,36,37,18,29
3,2020,8,16,31,27,12,28,28,15,18,27
4,2020,8,16,31,27,12,28,29,27,26,
5,2020,8,16,31,27,18,36,28,15,18,27
6,2020,8,16,31,27,18,36,29,27,26,
7,2020,12,22,37,37,12,28,28,15,18,27
8,2020,12,22,37,37,12,28,29,27,26,
9,2020,12,22,37,37,18,36,28,15,18,27
10,2020,12,22,37,37,18,36,29,27,26,
11,2019,13,15,21,20,14,21,28,9,17,
12,2017,15,16,26,20,15,22,23,15,17,
13,2017,15,16,26,20,15,22,24,13,20,
14,2017,15,16,26,20,15,28,23,15,17,
15,2017,15,16,26,20,15,28,24,13,20,
16,2017,15,16,32,26,15,22,23,15,17,
17,2017,15,16,32,26,15,22,24,13,20,
18,2017,15,16,32,26,15,28,23,15,17,
19,2017,15,16,32,26,15,28,24,13,20,
20,2015,28,25,14,9,26,11,28,23,15,
21,2014,19,16,15,7,17,11,,,9,
22,2014,19,16,15,7,17,11,33,26,22,
23,2014,19,16,15,7,32,16,,,9,
24,2014,19,16,15,7,32,16,33,26,22,
25,2014,31,33,21,13,17,11,,,9,
26,2014,31,33,21,13,17,11,33,26,22,
27,2014,31,33,21,13,32,16,,,9,
28,2014,31,33,21,13,32,16,33,26,22,
29,2013,38,25,13,5,31,8,,,12,
30,2013,38,25,13,5,31,8,21,24,17,
31,2013,38,25,13,5,31,8,,,15,
32,2013,38,25,13,5,31,8,,39,15,
33,2013,38,25,13,5,31,8,44,38,20,
34,2013,38,25,13,5,27,10,,,12,
35,2013,38,25,13,5,27,10,21,24,17,
36,2013,38,25,13,5,27,10,,,15,
37,2013,38,25,13,5,27,10,,39,15,
38,2013,38,25,13,5,27,10,44,38,20,
39,2013,38,25,13,5,30,8,,,12,
40,2013,38,25,13,5,30,8,21,24,17,
41,2013,38,25,13,5,30,8,,,15,
42,2013,38,25,13,5,30,8,,39,15,
43,2013,38,25,13,5,30,8,44,38,20,
44,2013,38,25,13,5,34,8,,,12,
45,2013,38,25,13,5,34,8,21,24,17,
46,2013,38,25,13,5,34,8,,,15,
47,2013,38,25,13,5,34,8,,39,15,
48,2013,38,25,13,5,34,8,44,38,20,
49,2013,38,25,13,5,37,15,,,12,
50,2013,38,25,13,5,37,15,21,24,17,
51,2013,38,25,13,5,37,15,,,15,
52,2013,38,25,13,5,37,15,,39,15,
53,2013,38,25,13,5,37,15,44,38,20,
54,2013,25,27,16,7,31,8,,,12,
55,2013,25,27,16,7,31,8,21,24,17,
56,2013,25,27,16,7,31,8,,,15,
57,2013,25,27,16,7,31,8,,39,15,
58,2013,25,27,16,7,31,8,44,38,20,
59,2013,25,27,16,7,27,10,,,12,
60,2013,25,27,16,7,27,10,21,24,17,
61,2013,25,27,16,7,27,10,,,15,
62,2013,25,27,16,7,27,10,,39,15,
63,2013,25,27,16,7,27,10,44,38,20,
64,2013,25,27,16,7,30,8,,,12,
65,2013,25,27,16,7,30,8,21,24,17,
66,2013,25,27,16,7,30,8,,,15,
67,2013,25,27,16,7,30,8,,39,15,
68,2013,25,27,16,7,30,8,44,38,20,
69,2013,25,27,16,7,34,8,,,12,
70,2013,25,27,16,7,34,8,21,24,17,
71,2013,25,27,16,7,34,8,,,15,
72,2013,25,27,16,7,34,8,,39,15,
73,2013,25,27,16,7,34,8,44,38,20,
74,2013,25,27,16,7,37,15,,,12,
75,2013,25,27,16,7,37,15,21,24,17,
76,2013,25,27,16,7,37,15,,,15,
77,2013,25,27,16,7,37,15,,39,15,
78,2013,25,27,16,7,37,15,44,38,20,
79,2013,30,30,16,4,31,8,,,12,
80,2013,30,30,16,4,31,8,21,24,17,
81,2013,30,30,16,4,31,8,,,15,
82,2013,30,30,16,4,31,8,,39,15,
83,2013,30,30,16,4,31,8,44,38,20,
84,2013,30,30,16,4,27,10,,,12,
85,2013,30,30,16,4,27,10,21,24,17,
86,2013,30,30,16,4,27,10,,,15,
87,2013,30,30,16,4,27,10,,39,15,
88,2013,30,30,16,4,27,10,44,38,20,
89,2013,30,30,16,4,30,8,,,12,
90,2013,30,30,16,4,30,8,21,24,17,
91,2013,30,30,16,4,30,8,,,15,
92,2013,30,30,16,4,30,8,,39,15,
93,2013,30,30,16,4,30,8,44,38,20,
94,2013,30,30,16,4,34,8,,,12,
95,2013,30,30,16,4,34,8,21,24,17,
96,2013,30,30,16,4,34,8,,,15,
97,2013,30,30,16,4,34,8,,39,15,
98,2013,30,30,16,4,34,8,44,38,20,
99,2013,30,30,16,4,37,15,,,12,
100,2013,30,30,16,4,37,15,21,24,17,
101,2013,30,30,16,4,37,15,,,15,
102,2013,30,30,16,4,37,15,,39,15,
103,2013,30,30,16,4,37,15,44,38,20,
104,2013,35,34,9,7,31,8,,,12,
105,2013,35,34,9,7,31,8,21,24,17,
106,2013,35,34,9,7,31,8,,,15,
107,2013,35,34,9,7,31,8,,39,15,
108,2013,35,34,9,7,31,8,44,38,20,
109,2013,35,34,9,7,27,10,,,12,
110,2013,35,34,9,7,27,10,21,24,17,
111,2013,35,34,9,7,27,10,,,15,
112,2013,35,34,9,7,27,10,,39,15,
113,2013,35,34,9,7,27,10,44,38,20,
114,2013,35,34,9,7,30,8,,,12,
115,2013,35,34,9,7,30,8,21,24,17,
116,2013,35,34,9,7,30,8,,,15,
117,2013,35,34,9,7,30,8,,39,15,
118,2013,35,34,9,7,30,8,44,38,20,
119,2013,35,34,9,7,34,8,,,12,
120,2013,35,34,9,7,34,8,21,24,17,
121,2013,35,34,9,7,34,8,,,15,
122,2013,35,34,9,7,34,8,,39,15,
123,2013,35,34,9,7,34,8,44,38,20,
124,2013,35,34,9,7,37,15,,,12,
125,2013,35,34,9,7,37,15,21,24,17,
126,2013,35,34,9,7,37,15,,,15,
127,2013,35,34,9,7,37,15,,39,15,
128,2013,35,34,9,7,37,15,44,38,20,
129,2013,34,37,17,14,31,8,,,12,
130,2013,34,37,17,14,31,8,21,24,17,
131,2013,34,37,17,14,31,8,,,15,
132,2013,34,37,17,14,31,8,,39,15,
133,2013,34,37,17,14,31,8,44,38,20,
134,2013,34,37,17,14,27,10,,,12,
135,2013,34,37,17,14,27,10,21,24,17,
136,2013,34,37,17,14,27,10,,,15,
137,2013,34,37,17,14,27,10,,39,15,
138,2013,34,37,17,14,27,10,44,38,20,
139,2013,34,37,17,14,30,8,,,12,
140,2013,34,37,17,14,30,8,21,24,17,
141,2013,34,37,17,14,30,8,,,15,
142,2013,34,37,17,14,30,8,,39,15,
143,2013,34,37,17,14,30,8,44,38,20,
144,2013,34,37,17,14,34,8,,,12,
145,2013,34,37,17,14,34,8,21,24,17,
146,2013,34,37,17,14,34,8,,,15,
147,2013,34,37,17,14,34,8,,39,15,
148,2013,34,37,17,14,34,8,44,38,20,
149,2013,34,37,17,14,37,15,,,12,
150,2013,34,37,17,14,37,15,21,24,17,
151,2013,34,37,17,14,37,15,,,15,
152,2013,34,37,17,14,37,15,,39,15,
153,2013,34,37,17,14,37,15,44,38,20,
154,2012,26,32,18,15,29,16,38,38,16,
155,2011,9,13,11,7,13,8,15,15,8,
156,2011,9,13,11,7,13,8,29,25,17,
157,2011,9,13,11,7,13,8,,,10,
158,2011,9,13,11,7,13,8,28,35,15,
159,2011,9,13,11,7,13,8,28,25,30,
160,2011,9,13,11,7,27,12,15,15,8,
161,2011,9,13,11,7,27,12,29,25,17,
162,2011,9,13,11,7,27,12,,,10,
163,2011,9,13,11,7,27,12,28,35,15,
164,2011,9,13,11,7,27,12,28,25,30,
165,2011,9,13,11,7,20,11,15,15,8,
166,2011,9,13,11,7,20,11,29,25,17,
167,2011,9,13,11,7,20,11,,,10,
168,2011,9,13,11,7,20,11,28,35,15,
169,2011,9,13,11,7,20,11,28,25,30,
170,2011,9,13,11,7,25,13,15,15,8,
171,2011,9,13,11,7,25,13,29,25,17,
172,2011,9,13,11,7,25,13,,,10,
173,2011,9,13,11,7,25,13,28,35,15,
174,2011,9,13,11,7,25,13,28,25,30,
175,2011,9,13,11,7,34,24,15,15,8,
176,2011,9,13,11,7,34,24,29,25,17,
