"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2020-09-20  to  2020-09-26",157,2.05000,7656200
"2020-09-21  to  2020-09-27",150,1.96000,7656200
"2020-09-22  to  2020-09-28",168,2.19000,7656200
"2020-09-23  to  2020-09-29",173,2.26000,7656200
"2020-09-24  to  2020-09-30",162,2.12000,7656200
"2020-09-25  to  2020-10-01",154,2.01000,7656200
"2020-09-26  to  2020-10-02",158,2.06000,7656200
"2020-09-27  to  2020-10-03",149,1.95000,7656200
"2020-09-28  to  2020-10-04",161,2.10000,7656200
"2020-09-29  to  2020-10-05",157,2.05000,7656200
"2020-09-30  to  2020-10-06",158,2.06000,7656200
"2020-10-01  to  2020-10-07",179,2.34000,7656200
"2020-10-02  to  2020-10-08",194,2.53000,7656200
"2020-10-03  to  2020-10-09",207,2.70000,7656200
"2020-10-04  to  2020-10-10",226,2.95000,7656200
"2020-10-05  to  2020-10-11",229,2.99000,7656200
"2020-10-06  to  2020-10-12",236,3.08000,7656200
"2020-10-07  to  2020-10-13",235,3.07000,7656200
"2020-10-08  to  2020-10-14",218,2.85000,7656200
"2020-10-09  to  2020-10-15",200,2.61000,7656200
"2020-10-10  to  2020-10-16",201,2.63000,7656200
"2020-10-11  to  2020-10-17",196,2.56000,7656200
"2020-10-12  to  2020-10-18",198,2.59000,7656200
"2020-10-13  to  2020-10-19",193,2.52000,7656200
"2020-10-14  to  2020-10-20",202,2.64000,7656200
"2020-10-15  to  2020-10-21",210,2.74000,7656200
"2020-10-16  to  2020-10-22",225,2.94000,7656200
"2020-10-17  to  2020-10-23",230,3.00000,7656200
"2020-10-18  to  2020-10-24",221,2.89000,7656200
"2020-10-19  to  2020-10-25",221,2.89000,7656200
"2020-10-20  to  2020-10-26",238,3.11000,7656200
"2020-10-21  to  2020-10-27",229,2.99000,7656200
"2020-10-22  to  2020-10-28",252,3.29000,7656200
"2020-10-23  to  2020-10-29",264,3.45000,7656200
"2020-10-24  to  2020-10-30",250,3.27000,7656200
"2020-10-25  to  2020-10-31",255,3.33000,7656200
"2020-10-26  to  2020-11-01",254,3.32000,7656200
"2020-10-27  to  2020-11-02",246,3.21000,7656200
"2020-10-28  to  2020-11-03",258,3.37000,7656200
"2020-10-29  to  2020-11-04",246,3.21000,7656200
"2020-10-30  to  2020-11-05",247,3.23000,7656200
"2020-10-31  to  2020-11-06",281,3.67000,7656200
"2020-11-01  to  2020-11-07",308,4.02000,7656200
"2020-11-02  to  2020-11-08",316,4.13000,7656200
"2020-11-03  to  2020-11-09",336,4.39000,7656200
"2020-11-04  to  2020-11-10",387,5.05000,7656200
"2020-11-05  to  2020-11-11",401,5.24000,7656200
"2020-11-06  to  2020-11-12",402,5.25000,7656200
"2020-11-07  to  2020-11-13",485,6.33000,7656200
"2020-11-08  to  2020-11-14",542,7.08000,7656200
"2020-11-09  to  2020-11-15",571,7.46000,7656200
"2020-11-10  to  2020-11-16",658,8.59000,7656200
"2020-11-11  to  2020-11-17",694,9.06000,7656200
"2020-11-12  to  2020-11-18",744,9.72000,7656200
"2020-11-13  to  2020-11-19",796,10.40000,7656200
"2020-11-14  to  2020-11-20",745,9.73000,7656200
"2020-11-15  to  2020-11-21",729,9.52000,7656200
"2020-11-16  to  2020-11-22",741,9.68000,7656200
"2020-11-17  to  2020-11-23",733,9.57000,7656200
"2020-11-18  to  2020-11-24",719,9.39000,7656200
"2020-11-19  to  2020-11-25",698,9.12000,7656200
"2020-11-20  to  2020-11-26",681,8.89000,7656200
"2020-11-21  to  2020-11-27",703,9.18000,7656200
"2020-11-22  to  2020-11-28",703,9.18000,7656200
"2020-11-23  to  2020-11-29",719,9.39000,7656200
"2020-11-24  to  2020-11-30",695,9.08000,7656200
"2020-11-25  to  2020-12-01",677,8.84000,7656200
"2020-11-26  to  2020-12-02",711,9.29000,7656200
"2020-11-27  to  2020-12-03",747,9.76000,7656200
"2020-11-28  to  2020-12-04",738,9.64000,7656200
"2020-11-29  to  2020-12-05",745,9.73000,7656200
"2020-11-30  to  2020-12-06",750,9.80000,7656200
"2020-12-01  to  2020-12-07",749,9.78000,7656200
"2020-12-02  to  2020-12-08",752,9.82000,7656200
"2020-12-03  to  2020-12-09",723,9.44000,7656200
"2020-12-04  to  2020-12-10",701,9.16000,7656200
"2020-12-05  to  2020-12-11",688,8.99000,7656200
"2020-12-06  to  2020-12-12",673,8.79000,7656200
"2020-12-07  to  2020-12-13",667,8.71000,7656200
"2020-12-08  to  2020-12-14",678,8.86000,7656200
"2020-12-09  to  2020-12-15",697,9.10000,7656200
"2020-12-10  to  2020-12-16",696,9.09000,7656200
"2020-12-11  to  2020-12-17",705,9.21000,7656200
"2020-12-12  to  2020-12-18",716,9.35000,7656200
"2020-12-13  to  2020-12-19",727,9.50000,7656200
"2020-12-14  to  2020-12-20",695,9.08000,7656200
"2020-12-15  to  2020-12-21",679,8.87000,7656200
"2020-12-16  to  2020-12-22",689,9.00000,7656200
"2020-12-17  to  2020-12-23",715,9.34000,7656200
"2020-12-18  to  2020-12-24",747,9.76000,7656200
"2020-12-19  to  2020-12-25",768,10.03000,7656200
"2020-12-20  to  2020-12-26",782,10.21000,7656200
"2020-12-21  to  2020-12-27",827,10.80000,7656200
"2020-12-22  to  2020-12-28",814,10.63000,7656200
"2020-12-23  to  2020-12-29",788,10.29000,7656200
"2020-12-24  to  2020-12-30",776,10.14000,7656200
"2020-12-25  to  2020-12-31",751,9.81000,7656200
"2020-12-26  to  2021-01-01",728,9.51000,7656200
"2020-12-27  to  2021-01-02",714,9.33000,7656200
"2020-12-28  to  2021-01-03",690,9.01000,7656200
"2020-12-29  to  2021-01-04",690,9.01000,7656200
"2020-12-30  to  2021-01-05",690,9.01000,7656200
"2020-12-31  to  2021-01-06",692,9.04000,7656200
"2021-01-01  to  2021-01-07",653,8.53000,7656200
"2021-01-02  to  2021-01-08",668,8.72000,7656200
"2021-01-03  to  2021-01-09",649,8.48000,7656200
"2021-01-04  to  2021-01-10",650,8.49000,7656200
"2021-01-05  to  2021-01-11",671,8.76000,7656200
"2021-01-06  to  2021-01-12",674,8.80000,7656200
"2021-01-07  to  2021-01-13",661,8.63000,7656200
"2021-01-08  to  2021-01-14",697,9.10000,7656200
"2021-01-09  to  2021-01-15",696,9.09000,7656200
"2021-01-10  to  2021-01-16",694,9.06000,7656200
"2021-01-11  to  2021-01-17",694,9.06000,7656200
"2021-01-12  to  2021-01-18",680,8.88000,7656200
"2021-01-13  to  2021-01-19",642,8.39000,7656200
"2021-01-14  to  2021-01-20",628,8.20000,7656200
"2021-01-15  to  2021-01-21",620,8.10000,7656200
"2021-01-16  to  2021-01-22",597,7.80000,7656200
"2021-01-17  to  2021-01-23",575,7.51000,7656200
"2021-01-18  to  2021-01-24",546,7.13000,7656200
"2021-01-19  to  2021-01-25",534,6.97000,7656200
"2021-01-20  to  2021-01-26",544,7.11000,7656200
"2021-01-21  to  2021-01-27",562,7.34000,7656200
"2021-01-22  to  2021-01-28",550,7.18000,7656200
"2021-01-23  to  2021-01-29",522,6.82000,7656200
"2021-01-24  to  2021-01-30",536,7.00000,7656200
"2021-01-25  to  2021-01-31",555,7.25000,7656200
"2021-01-26  to  2021-02-01",546,7.13000,7656200
"2021-01-27  to  2021-02-02",564,7.37000,7656200
"2021-01-28  to  2021-02-03",533,6.96000,7656200
"2021-01-29  to  2021-02-04",495,6.47000,7656200
"2021-01-30  to  2021-02-05",507,6.62000,7656200
"2021-01-31  to  2021-02-06",491,6.41000,7656200
"2021-02-01  to  2021-02-07",461,6.02000,7656200
"2021-02-02  to  2021-02-08",446,5.83000,7656200
"2021-02-03  to  2021-02-09",409,5.34000,7656200
"2021-02-04  to  2021-02-10",406,5.30000,7656200
"2021-02-05  to  2021-02-11",418,5.46000,7656200
"2021-02-06  to  2021-02-12",424,5.54000,7656200
"2021-02-07  to  2021-02-13",421,5.50000,7656200
"2021-02-08  to  2021-02-14",416,5.43000,7656200
"2021-02-09  to  2021-02-15",429,5.60000,7656200
"2021-02-10  to  2021-02-16",438,5.72000,7656200
"2021-02-11  to  2021-02-17",433,5.66000,7656200
"2021-02-12  to  2021-02-18",416,5.43000,7656200
"2021-02-13  to  2021-02-19",381,4.98000,7656200
"2021-02-14  to  2021-02-20",370,4.83000,7656200
"2021-02-15  to  2021-02-21",360,4.70000,7656200
"2021-02-16  to  2021-02-22",336,4.39000,7656200
"2021-02-17  to  2021-02-23",315,4.11000,7656200
"2021-02-18  to  2021-02-24",304,3.97000,7656200
"2021-02-19  to  2021-02-25",316,4.13000,7656200
"2021-02-20  to  2021-02-26",314,4.10000,7656200
"2021-02-21  to  2021-02-27",312,4.08000,7656200
"2021-02-22  to  2021-02-28",315,4.11000,7656200
"2021-02-23  to  2021-03-01",308,4.02000,7656200
"2021-02-24  to  2021-03-02",317,4.14000,7656200
"2021-02-25  to  2021-03-03",307,4.01000,7656200
"2021-02-26  to  2021-03-04",283,3.70000,7656200
"2021-02-27  to  2021-03-05",275,3.59000,7656200
"2021-02-28  to  2021-03-06",265,3.46000,7656200
"2021-03-01  to  2021-03-07",265,3.46000,7656200
"2021-03-02  to  2021-03-08",248,3.24000,7656200
"2021-03-03  to  2021-03-09",247,3.23000,7656200
"2021-03-04  to  2021-03-10",261,3.41000,7656200
"2021-03-05  to  2021-03-11",262,3.42000,7656200
"2021-03-06  to  2021-03-12",273,3.57000,7656200
"2021-03-07  to  2021-03-13",276,3.60000,7656200
"2021-03-08  to  2021-03-14",280,3.66000,7656200
"2021-03-09  to  2021-03-15",294,3.84000,7656200
"2021-03-10  to  2021-03-16",287,3.75000,7656200
"2021-03-11  to  2021-03-17",282,3.68000,7656200
