"HealthCareID","DateRangeStart","DateRangeEnd","SevenDayAdmit","SevenDayAdmitRatePer10"
0,"2020-09-20","2020-09-26",157,2.05
1,"2020-09-21","2020-09-27",150,1.96
2,"2020-09-22","2020-09-28",168,2.19
3,"2020-09-23","2020-09-29",173,2.26
4,"2020-09-24","2020-09-30",162,2.12
5,"2020-09-25","2020-10-01",154,2.01
6,"2020-09-26","2020-10-02",158,2.06
7,"2020-09-27","2020-10-03",149,1.95
8,"2020-09-28","2020-10-04",161,2.10
9,"2020-09-29","2020-10-05",157,2.05
10,"2020-09-30","2020-10-06",158,2.06
11,"2020-10-01","2020-10-07",179,2.34
12,"2020-10-02","2020-10-08",194,2.53
13,"2020-10-03","2020-10-09",207,2.70
14,"2020-10-04","2020-10-10",226,2.95
15,"2020-10-05","2020-10-11",229,2.99
16,"2020-10-06","2020-10-12",236,3.08
17,"2020-10-07","2020-10-13",235,3.07
18,"2020-10-08","2020-10-14",218,2.85
19,"2020-10-09","2020-10-15",200,2.61
20,"2020-10-10","2020-10-16",201,2.63
21,"2020-10-11","2020-10-17",196,2.56
22,"2020-10-12","2020-10-18",198,2.59
23,"2020-10-13","2020-10-19",193,2.52
24,"2020-10-14","2020-10-20",202,2.64
25,"2020-10-15","2020-10-21",210,2.74
26,"2020-10-16","2020-10-22",225,2.94
27,"2020-10-17","2020-10-23",230,3.00
28,"2020-10-18","2020-10-24",221,2.89
29,"2020-10-19","2020-10-25",221,2.89
30,"2020-10-20","2020-10-26",238,3.11
31,"2020-10-21","2020-10-27",229,2.99
32,"2020-10-22","2020-10-28",252,3.29
33,"2020-10-23","2020-10-29",264,3.45
34,"2020-10-24","2020-10-30",250,3.27
35,"2020-10-25","2020-10-31",255,3.33
36,"2020-10-26","2020-11-01",254,3.32
37,"2020-10-27","2020-11-02",246,3.21
38,"2020-10-28","2020-11-03",258,3.37
39,"2020-10-29","2020-11-04",246,3.21
40,"2020-10-30","2020-11-05",247,3.23
41,"2020-10-31","2020-11-06",281,3.67
42,"2020-11-01","2020-11-07",308,4.02
43,"2020-11-02","2020-11-08",316,4.13
44,"2020-11-03","2020-11-09",336,4.39
45,"2020-11-04","2020-11-10",387,5.05
46,"2020-11-05","2020-11-11",401,5.24
47,"2020-11-06","2020-11-12",402,5.25
48,"2020-11-07","2020-11-13",485,6.33
49,"2020-11-08","2020-11-14",542,7.08
50,"2020-11-09","2020-11-15",571,7.46
51,"2020-11-10","2020-11-16",658,8.59
52,"2020-11-11","2020-11-17",694,9.06
53,"2020-11-12","2020-11-18",744,9.72
54,"2020-11-13","2020-11-19",796,10.40
55,"2020-11-14","2020-11-20",745,9.73
56,"2020-11-15","2020-11-21",729,9.52
57,"2020-11-16","2020-11-22",741,9.68
58,"2020-11-17","2020-11-23",733,9.57
59,"2020-11-18","2020-11-24",719,9.39
60,"2020-11-19","2020-11-25",698,9.12
61,"2020-11-20","2020-11-26",681,8.89
62,"2020-11-21","2020-11-27",703,9.18
63,"2020-11-22","2020-11-28",703,9.18
64,"2020-11-23","2020-11-29",719,9.39
65,"2020-11-24","2020-11-30",695,9.08
66,"2020-11-25","2020-12-01",677,8.84
67,"2020-11-26","2020-12-02",711,9.29
68,"2020-11-27","2020-12-03",747,9.76
69,"2020-11-28","2020-12-04",738,9.64
70,"2020-11-29","2020-12-05",745,9.73
71,"2020-11-30","2020-12-06",750,9.80
72,"2020-12-01","2020-12-07",749,9.78
73,"2020-12-02","2020-12-08",752,9.82
74,"2020-12-03","2020-12-09",723,9.44
75,"2020-12-04","2020-12-10",701,9.16
76,"2020-12-05","2020-12-11",688,8.99
77,"2020-12-06","2020-12-12",673,8.79
78,"2020-12-07","2020-12-13",667,8.71
79,"2020-12-08","2020-12-14",678,8.86
80,"2020-12-09","2020-12-15",697,9.10
81,"2020-12-10","2020-12-16",696,9.09
82,"2020-12-11","2020-12-17",705,9.21
83,"2020-12-12","2020-12-18",716,9.35
84,"2020-12-13","2020-12-19",727,9.50
85,"2020-12-14","2020-12-20",695,9.08
86,"2020-12-15","2020-12-21",679,8.87
87,"2020-12-16","2020-12-22",689,9.00
88,"2020-12-17","2020-12-23",715,9.34
89,"2020-12-18","2020-12-24",747,9.76
90,"2020-12-19","2020-12-25",768,10.03
91,"2020-12-20","2020-12-26",782,10.21
92,"2020-12-21","2020-12-27",827,10.80
93,"2020-12-22","2020-12-28",814,10.63
94,"2020-12-23","2020-12-29",788,10.29
95,"2020-12-24","2020-12-30",776,10.14
96,"2020-12-25","2020-12-31",751,9.81
97,"2020-12-26","2021-01-01",728,9.51
98,"2020-12-27","2021-01-02",714,9.33
99,"2020-12-28","2021-01-03",690,9.01
100,"2020-12-29","2021-01-04",690,9.01
101,"2020-12-30","2021-01-05",690,9.01
102,"2020-12-31","2021-01-06",692,9.04
103,"2021-01-01","2021-01-07",653,8.53
104,"2021-01-02","2021-01-08",668,8.72
105,"2021-01-03","2021-01-09",649,8.48
106,"2021-01-04","2021-01-10",650,8.49
107,"2021-01-05","2021-01-11",671,8.76
108,"2021-01-06","2021-01-12",674,8.80
109,"2021-01-07","2021-01-13",661,8.63
110,"2021-01-08","2021-01-14",697,9.10
111,"2021-01-09","2021-01-15",696,9.09
112,"2021-01-10","2021-01-16",694,9.06
113,"2021-01-11","2021-01-17",694,9.06
114,"2021-01-12","2021-01-18",680,8.88
115,"2021-01-13","2021-01-19",642,8.39
116,"2021-01-14","2021-01-20",628,8.20
117,"2021-01-15","2021-01-21",620,8.10
118,"2021-01-16","2021-01-22",597,7.80
119,"2021-01-17","2021-01-23",575,7.51
120,"2021-01-18","2021-01-24",546,7.13
121,"2021-01-19","2021-01-25",534,6.97
122,"2021-01-20","2021-01-26",544,7.11
123,"2021-01-21","2021-01-27",562,7.34
