"County","total","family_households","married_couple_family","other_family","male_householder_no_wife_present","female_householder_no_husband_present","nonfamily_households","householder_living_alone","householder_not_living_alone"
Washington,234406,177626,113530,64096,22015,42081,56780,37966,18814
Adams,2958,2502,1534,968,364,604,456,383,73
Asotin,196,156,36,120,22,98,40,40,0
Benton,10614,7973,5220,2753,763,1990,2641,1780,861
Chelan,5105,4076,2668,1408,604,804,1029,673,356
Columbia,87,87,81,6,0,6,0,0,0
Douglas,3205,2697,1634,1063,386,677,508,289,219
Ferry,89,32,29,3,3,0,57,57,0
Franklin,11311,9456,5617,3839,1068,2771,1855,1319,536
Garfield,10,10,6,4,0,4,0,0,0
Grant,8837,7183,4854,2329,859,1470,1654,1017,637
Kittitas,840,572,423,149,101,48,268,79,189
Klickitat,716,643,529,114,19,95,73,35,38
Lincoln,125,97,58,39,32,7,28,9,19
Okanogan,2221,1694,1082,612,146,466,527,377,150
Pend Oreille,172,84,65,19,0,19,88,59,29
Spokane,7816,5177,3268,1909,529,1380,2639,1807,832
Stevens,360,270,131,139,75,64,90,77,13
Walla Walla,3063,2522,1551,971,315,656,541,379,162
Whitman,509,196,121,75,34,41,313,156,157
Yakima,30542,25731,15350,10381,3384,6997,4811,3678,1133
