"county","total","drove_alone","carpooled","public_transportation","walked","other_transportation","worked_at_home"
Adams,4505,3177,1105,0,14,84,125
Asotin,332,242,9,24,15,36,6
Benton,16501,13128,2325,130,285,170,463
Chelan,9527,6974,1131,228,362,427,405
Columbia,169,35,12,0,122,0,0
Douglas,5865,4304,464,118,293,486,200
Ferry,117,84,0,2,18,0,13
Franklin,19490,15462,3033,146,145,242,462
Garfield,4,4,0,0,0,0,0
Grant,16440,10624,3399,625,502,613,677
Kittitas,1827,1143,165,71,227,152,69
Klickitat,1108,825,194,0,14,11,64
Lincoln,75,57,11,0,0,7,0
Okanogan,3370,2246,656,40,238,63,127
Pend Oreille,199,195,0,0,3,0,1
Spokane,11500,8515,1445,333,408,372,427
Stevens,397,249,84,0,29,22,13
Walla Walla,5353,3579,1146,16,333,62,217
Washington,392945,277185,60513,21330,12820,7715,13382
Whitman,992,584,100,35,166,3,104
Yakima,48157,36103,8904,220,797,716,1417
