"OccMetID","Area_Title","Primary_State","Occupation_Title","Occupation_Group","Total_Employees_Met","Employee_PCT_Met","Jobs_1000_Met","Loc_Quotient_Met","H_Mean_Met","A_Mean_Met","Mean_PCT_Met","H_PCT10_Met","H_PCT25_Met","H_Median_Met","H_PCT75_Met","H_PCT90_Met","A_PCT10_Met","A_PCT25_Met","A_Median_Met","A_PCT75_Met","A_PCT90_Met","Annual_Met","Hourly_Met"
11799,"Bellingham, WA",WA,All Occupations,total,82610,0.00,1000.000,1.00,27.41,57000.00,0.50,14.32,16.80,22.39,32.94,47.23,29790.00,34940.00,46570.00,68510.00,98230.00,"",""
11800,"Bellingham, WA",WA,Management Occupations,major,3610,1.70,43.749,0.69,57.78,120180.00,0.80,29.28,38.02,55.37,70.60,91.35,60900.00,79090.00,115170.00,146860.00,190000.00,"",""
11801,"Bellingham, WA",WA,Chief Executives,detailed,50,7.60,0.661,0.46,106.05,220580.00,4.60,58.05,72.90,92.98,,,120750.00,151630.00,193400.00,,,"",""
11802,"Bellingham, WA",WA,General and Operations Managers,detailed,1250,2.20,15.125,0.71,56.80,118150.00,1.20,28.95,36.96,48.37,72.45,93.39,60220.00,76880.00,100610.00,150690.00,194240.00,"",""
11803,"Bellingham, WA",WA,Legislators,detailed,50,15.10,0.649,2.05,,,,,,,,,,,,,,TRUE,""
11804,"Bellingham, WA",WA,Marketing Managers,detailed,80,10.20,0.937,0.47,63.98,133080.00,4.10,36.23,45.87,63.01,75.25,98.89,75370.00,95420.00,131060.00,156530.00,205690.00,"",""
11805,"Bellingham, WA",WA,Sales Managers,detailed,190,14.00,2.315,0.72,63.85,132810.00,2.90,35.50,45.74,61.39,77.34,97.82,73850.00,95140.00,127690.00,160870.00,203470.00,"",""
11806,"Bellingham, WA",WA,Facilities Managers,detailed,50,9.40,0.588,0.82,54.07,112470.00,4.40,29.34,37.65,47.64,62.52,91.66,61030.00,78310.00,99100.00,130040.00,190660.00,"",""
11807,"Bellingham, WA",WA,Computer and Information Systems Managers,detailed,110,9.40,1.294,0.38,68.62,142730.00,2.70,46.51,48.70,61.84,74.62,97.71,96750.00,101300.00,128630.00,155210.00,203240.00,"",""
11808,"Bellingham, WA",WA,Financial Managers,detailed,210,13.30,2.515,0.52,66.09,137480.00,2.20,39.04,47.46,60.69,73.02,,81190.00,98720.00,126230.00,151870.00,,"",""
11809,"Bellingham, WA",WA,Industrial Production Managers,detailed,80,15.10,0.996,0.73,57.36,119300.00,1.50,37.38,45.91,50.03,69.65,78.74,77750.00,95490.00,104050.00,144870.00,163780.00,"",""
11810,"Bellingham, WA",WA,"Transportation, Storage, and Distribution Managers",detailed,40,20.10,0.441,0.43,49.12,102160.00,2.50,27.87,37.02,47.41,60.35,72.30,57960.00,77010.00,98600.00,125520.00,150380.00,"",""
11811,"Bellingham, WA",WA,Human Resources Managers,detailed,50,7.00,0.591,0.50,59.99,124780.00,2.00,37.63,45.83,58.01,72.62,80.03,78270.00,95320.00,120650.00,151060.00,166470.00,"",""
11812,"Bellingham, WA",WA,Construction Managers,detailed,280,11.10,3.416,1.69,52.63,109460.00,2.00,35.80,44.67,47.76,60.81,73.86,74460.00,92910.00,99340.00,126480.00,153620.00,"",""
11813,"Bellingham, WA",WA,"Education Administrators, Kindergarten through Secondary",detailed,150,3.00,1.761,0.90,,125560.00,0.60,,,,,,90500.00,119480.00,126360.00,150330.00,150330.00,TRUE,""
11814,"Bellingham, WA",WA,"Education Administrators, Postsecondary",detailed,90,0.80,1.137,1.03,,,,,,,,,,,,,,"",""
11815,"Bellingham, WA",WA,Architectural and Engineering Managers,detailed,80,8.30,1.024,0.77,73.36,152580.00,1.90,57.95,62.09,63.59,78.18,99.91,120530.00,129140.00,132270.00,162600.00,207820.00,"",""
11816,"Bellingham, WA",WA,Food Service Managers,detailed,50,17.00,0.644,0.43,40.94,85160.00,4.00,27.54,29.08,42.55,45.12,61.88,57290.00,60480.00,88510.00,93840.00,128710.00,"",""
11817,"Bellingham, WA",WA,Lodging Managers,detailed,40,16.30,0.438,1.72,29.20,60740.00,7.30,17.80,22.52,22.59,35.57,46.61,37020.00,46850.00,46980.00,73980.00,96960.00,"",""
11818,"Bellingham, WA",WA,Medical and Health Services Managers,detailed,100,5.30,1.240,0.40,55.69,115820.00,2.20,29.84,37.05,48.16,60.57,85.71,62070.00,77070.00,100170.00,125980.00,178270.00,"",""
11819,"Bellingham, WA",WA,Natural Sciences Managers,detailed,30,8.80,0.369,0.70,55.52,115480.00,3.20,29.46,42.97,51.76,63.69,83.32,61270.00,89370.00,107660.00,132480.00,173310.00,"",""
11820,"Bellingham, WA",WA,"Property, Real Estate, and Community Association Managers",detailed,40,13.50,0.531,0.32,43.53,90530.00,8.80,22.86,29.20,37.99,56.64,60.22,47540.00,60740.00,79030.00,117810.00,125250.00,"",""
11821,"Bellingham, WA",WA,Social and Community Service Managers,detailed,80,4.90,1.014,0.91,36.92,76790.00,2.70,18.87,28.36,36.12,45.58,56.71,39250.00,58980.00,75140.00,94810.00,117950.00,"",""
11822,"Bellingham, WA",WA,"Managers, All Other",detailed,320,5.80,3.880,1.10,58.69,122080.00,1.20,37.43,49.63,57.62,63.08,79.84,77850.00,103240.00,119860.00,131210.00,166070.00,"",""
11823,"Bellingham, WA",WA,Business and Financial Operations Occupations,major,4640,1.60,56.139,0.87,36.46,75840.00,0.90,21.17,24.16,32.48,44.89,54.36,44040.00,50240.00,67550.00,93370.00,113060.00,"",""
11824,"Bellingham, WA",WA,Buyers and Purchasing Agents,detailed,270,3.90,3.270,1.05,31.33,65160.00,1.50,21.42,23.08,29.02,36.96,46.51,44550.00,48000.00,60360.00,76880.00,96750.00,"",""
11825,"Bellingham, WA",WA,"Claims Adjusters, Examiners, and Investigators",detailed,50,10.80,0.594,0.30,32.11,66780.00,3.70,14.51,23.15,36.31,38.88,44.26,30170.00,48140.00,75520.00,80870.00,92060.00,"",""
11826,"Bellingham, WA",WA,Compliance Officers,detailed,600,1.20,7.270,3.06,40.24,83690.00,0.50,23.00,29.66,43.53,48.97,48.97,47840.00,61680.00,90540.00,101860.00,101860.00,"",""
11827,"Bellingham, WA",WA,Cost Estimators,detailed,180,10.10,2.132,1.44,36.00,74880.00,2.30,21.12,28.18,34.18,42.79,57.71,43930.00,58610.00,71090.00,88990.00,120030.00,"",""
11828,"Bellingham, WA",WA,Human Resources Specialists,detailed,310,4.50,3.751,0.71,33.22,69100.00,2.50,19.37,23.44,30.25,37.92,48.38,40290.00,48760.00,62930.00,78870.00,100620.00,"",""
11829,"Bellingham, WA",WA,Labor Relations Specialists,detailed,30,20.80,0.374,0.83,38.98,81070.00,7.50,29.36,29.81,37.24,47.44,58.40,61070.00,62010.00,77450.00,98680.00,121470.00,"",""
11830,"Bellingham, WA",WA,Project Management Specialists,detailed,180,14.10,2.169,0.41,42.06,87480.00,5.50,23.34,29.45,38.41,49.53,62.61,48550.00,61260.00,79890.00,103010.00,130220.00,"",""
11831,"Bellingham, WA",WA,Management Analysts,detailed,170,22.80,2.016,0.37,47.78,99390.00,6.50,27.32,30.14,40.81,50.02,63.06,56830.00,62700.00,84880.00,104030.00,131170.00,"",""
11832,"Bellingham, WA",WA,"Meeting, Convention, and Event Planners",detailed,70,13.50,0.833,1.20,24.44,50830.00,3.40,17.80,18.64,22.73,27.48,36.98,37020.00,38770.00,47270.00,57150.00,76920.00,"",""
11833,"Bellingham, WA",WA,Fundraisers,detailed,60,10.90,0.777,1.33,26.92,56000.00,3.90,18.11,22.70,26.18,29.91,36.16,37680.00,47210.00,54450.00,62210.00,75220.00,"",""
11834,"Bellingham, WA",WA,Training and Development Specialists,detailed,130,8.30,1.589,0.67,34.52,71810.00,3.00,21.03,23.28,29.60,43.63,58.07,43740.00,48420.00,61560.00,90740.00,120790.00,"",""
11835,"Bellingham, WA",WA,Market Research Analysts and Marketing Specialists,detailed,360,5.00,4.400,0.85,32.02,66600.00,2.90,17.80,22.43,29.02,37.59,48.71,37020.00,46660.00,60360.00,78200.00,101320.00,"",""
11836,"Bellingham, WA",WA,"Business Operations Specialists, All Other",detailed,780,3.80,9.400,1.29,32.74,68100.00,1.60,20.53,23.63,29.59,37.92,47.89,42700.00,49150.00,61560.00,78870.00,99600.00,"",""
11837,"Bellingham, WA",WA,Accountants and Auditors,detailed,670,3.10,8.097,0.87,37.09,77140.00,1.20,23.63,29.36,35.88,44.72,48.58,49160.00,61070.00,74630.00,93030.00,101040.00,"",""
11838,"Bellingham, WA",WA,Credit Analysts,detailed,50,19.70,0.565,1.16,36.79,76530.00,6.30,18.33,25.61,31.58,39.46,59.57,38130.00,53280.00,65680.00,82080.00,123900.00,"",""
11839,"Bellingham, WA",WA,Financial and Investment Analysts,detailed,50,11.90,0.654,0.32,47.47,98740.00,2.50,22.26,29.29,40.04,59.10,75.03,46290.00,60920.00,83280.00,122920.00,156070.00,"",""
11840,"Bellingham, WA",WA,Personal Financial Advisors,detailed,120,13.60,1.437,0.77,62.24,129470.00,5.10,23.63,30.27,48.65,81.00,,49150.00,62950.00,101190.00,168480.00,,"",""
11841,"Bellingham, WA",WA,Loan Officers,detailed,320,6.80,3.834,1.59,37.37,77720.00,3.50,18.27,23.36,29.98,46.58,64.84,38010.00,48580.00,62370.00,96890.00,134870.00,"",""
11842,"Bellingham, WA",WA,"Financial Specialists, All Other",detailed,70,7.40,0.788,0.90,31.16,64800.00,3.70,18.87,23.44,23.90,32.97,48.95,39240.00,48760.00,49700.00,68570.00,101820.00,"",""
11843,"Bellingham, WA",WA,Computer and Mathematical Occupations,major,1450,2.40,17.515,0.53,42.57,88540.00,2.10,22.71,29.24,38.03,54.58,71.93,47230.00,60820.00,79100.00,113530.00,149610.00,"",""
11844,"Bellingham, WA",WA,Computer Systems Analysts,detailed,140,40.70,1.666,0.46,43.90,91300.00,2.80,28.67,36.37,43.05,56.65,57.90,59620.00,75640.00,89530.00,117820.00,120430.00,"",""
11845,"Bellingham, WA",WA,Computer Network Support Specialists,detailed,50,19.10,0.563,0.45,32.63,67870.00,2.90,22.63,28.59,30.41,36.88,43.26,47080.00,59460.00,63250.00,76700.00,89990.00,"",""
11846,"Bellingham, WA",WA,Computer User Support Specialists,detailed,280,6.00,3.383,0.73,28.02,58290.00,4.80,17.80,22.06,27.20,33.92,38.17,37020.00,45880.00,56580.00,70550.00,79390.00,"",""
11847,"Bellingham, WA",WA,Database Architects,detailed,40,10.90,0.444,1.24,67.87,141170.00,4.80,46.07,71.93,73.23,73.23,73.23,95820.00,149610.00,152320.00,152320.00,152320.00,"",""
11848,"Bellingham, WA",WA,Network and Computer Systems Administrators,detailed,100,11.80,1.211,0.54,40.33,83890.00,1.70,29.38,34.20,38.23,47.40,55.47,61120.00,71140.00,79510.00,98590.00,115370.00,"",""
11849,"Bellingham, WA",WA,Software Developers,detailed,460,7.10,5.527,0.57,51.94,108040.00,4.20,29.42,37.95,49.33,62.40,77.79,61200.00,78930.00,102600.00,129800.00,161810.00,"",""
11850,"Bellingham, WA",WA,Software Quality Assurance Analysts and Testers,detailed,40,18.20,0.437,0.32,36.57,76060.00,4.70,23.01,27.26,34.30,44.50,57.23,47870.00,56700.00,71340.00,92570.00,119030.00,"",""
11851,"Bellingham, WA",WA,Web Developers,detailed,40,24.20,0.445,0.74,31.41,65330.00,7.50,18.18,22.91,29.24,37.24,45.84,37810.00,47650.00,60820.00,77450.00,95350.00,"",""
11852,"Bellingham, WA",WA,Web and Digital Interface Designers,detailed,80,16.00,0.996,1.70,41.96,87280.00,7.30,23.48,29.46,37.86,54.58,69.69,48840.00,61270.00,78740.00,113530.00,144950.00,"",""
11853,"Bellingham, WA",WA,"Computer Occupations, All Other",detailed,100,22.20,1.179,0.45,37.84,78710.00,8.40,18.18,23.34,36.17,48.24,59.08,37810.00,48540.00,75230.00,100330.00,122890.00,"",""
