"OccNonMetID","Area_Title","Primary_State","Occupation_Title","Occupation_Group","Total_Employees_NonMet","Employee_PCT_NonMet","Jobs_1000_NonMet","Loc_Quotient_NonMet","H_Mean_NonMet","A_Mean_NonMet","Mean_PCT_NonMet","H_PCT10_NonMet","H_PCT25_NonMet","H_Median_NonMet","H_PCT75_NonMet","H_PCT90_NonMet","A_PCT10_NonMet","A_PCT25_NonMet","A_Median_NonMet","A_PCT75_NonMet","A_PCT90_NonMet","Annual_NonMet","Hourly_NonMet"
43636,Western Washington nonmetropolitan area,WA,All Occupations,total,119510,0.00,1000.00,1.00,26.10,54290.00,0.50,14.24,16.70,22.26,29.85,45.62,29610.00,34730.00,46290.00,62080.00,94900.00,"",""
43637,Western Washington nonmetropolitan area,WA,Management Occupations,major,,,,,48.30,100460.00,1.90,29.11,36.83,37.99,58.32,77.10,60550.00,76600.00,79030.00,121300.00,160360.00,"",""
43638,Western Washington nonmetropolitan area,WA,Chief Executives,detailed,170,22.30,1.41,0.99,88.30,183660.00,4.80,60.69,63.40,80.28,,,126240.00,131860.00,166980.00,,,"",""
43639,Western Washington nonmetropolitan area,WA,General and Operations Managers,detailed,1800,6.10,15.05,0.71,51.88,107900.00,2.10,28.85,36.85,47.92,60.62,78.08,60010.00,76640.00,99680.00,126080.00,162410.00,"",""
43640,Western Washington nonmetropolitan area,WA,Legislators,detailed,170,20.30,1.42,4.47,,97790.00,14.20,,,,,,29730.00,58080.00,94290.00,121960.00,153720.00,TRUE,""
43641,Western Washington nonmetropolitan area,WA,Marketing Managers,detailed,50,13.40,0.44,0.22,55.80,116060.00,4.60,33.63,42.87,48.26,64.94,79.34,69950.00,89160.00,100370.00,135070.00,165020.00,"",""
43642,Western Washington nonmetropolitan area,WA,Sales Managers,detailed,140,15.70,1.21,0.38,63.75,132590.00,5.80,28.65,47.37,60.88,77.94,98.83,59590.00,98530.00,126630.00,162110.00,205570.00,"",""
43643,Western Washington nonmetropolitan area,WA,Administrative Services Managers,detailed,40,16.00,0.32,0.20,54.34,113020.00,5.90,26.17,38.85,57.16,60.82,91.82,54430.00,80800.00,118900.00,126510.00,190980.00,"",""
43644,Western Washington nonmetropolitan area,WA,Facilities Managers,detailed,40,13.70,0.35,0.48,46.20,96090.00,4.60,28.85,37.00,46.25,57.16,60.35,60010.00,76960.00,96200.00,118900.00,125520.00,"",""
43645,Western Washington nonmetropolitan area,WA,Computer and Information Systems Managers,detailed,100,9.70,0.87,0.25,68.85,143210.00,4.60,45.77,48.12,61.35,72.87,99.01,95200.00,100100.00,127610.00,151570.00,205940.00,"",""
43646,Western Washington nonmetropolitan area,WA,Financial Managers,detailed,220,8.70,1.81,0.37,60.77,126400.00,7.50,36.94,47.28,57.80,63.08,92.21,76840.00,98340.00,120230.00,131200.00,191790.00,"",""
43647,Western Washington nonmetropolitan area,WA,Industrial Production Managers,detailed,90,6.60,0.78,0.57,56.49,117510.00,1.50,36.99,45.52,57.41,61.22,77.96,76930.00,94690.00,119420.00,127340.00,162160.00,"",""
43648,Western Washington nonmetropolitan area,WA,"Transportation, Storage, and Distribution Managers",detailed,60,9.80,0.49,0.48,46.56,96840.00,3.10,27.17,34.86,47.41,54.04,60.62,56510.00,72510.00,98600.00,112410.00,126080.00,"",""
